Composer;Life Time;Opus;Nr. in Opus;Movement Number;Year;Key;Title;url
Adolphe Adam;1803-1856;IAA5;COM;COM;1847;;Cantique de Noel;https://analyse.hfm-weimar.de/database/01/AdAd_IAA5_COM_COM_Cantiquede_001_00001.xml
Jakob Adlung;1699-1762;UNSP;UNSP;UNSP;;;Herr Christ, der einige Gottes Sohn;https://analyse.hfm-weimar.de/database/04/AdJa_UNSP_UNSP_UNSP_HerrChrist_004_00001.xml
Alexander Agricola;1446-1506;Agr1001;COM;1-4;;;Missa In myne zin - Gloria;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_1-4_MissaInmyn_002_00936.xml
Alexander Agricola;1446-1506;Agr1001;COM;2-4;;;Missa In myne zin - Credo;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_2-4_MissaInmyn_002_00937.xml
Alexander Agricola;1446-1506;Agr1001;COM;3-4;;;Missa In myne zin - Sanctus;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_3-4_MissaInmyn_002_00938.xml
Alexander Agricola;1446-1506;Agr1001;COM;4-4;;;Missa In myne zin - Agnus Dei;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1001_COM_4-4_MissaInmyn_002_00939.xml
Alexander Agricola;1446-1506;Agr1004;COM;1-5;;;Missa Malheur me bat - Kyrie;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_1-5_MissaMalhe_002_00940.xml
Alexander Agricola;1446-1506;Agr1004;COM;2-5;;;Missa Malheur me bat - Gloria;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_2-5_MissaMalhe_002_00941.xml
Alexander Agricola;1446-1506;Agr1004;COM;3-5;;;Missa Malheur me bat - Credo;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_3-5_MissaMalhe_002_00942.xml
Alexander Agricola;1446-1506;Agr1004;COM;4-5;;;Missa Malheur me bat - Sanctus;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_4-5_MissaMalhe_002_00943.xml
Alexander Agricola;1446-1506;Agr1004;COM;5-5;;;Missa Malheur me bat - Agnus Dei;https://analyse.hfm-weimar.de/database/02/AgAl_Agr1004_COM_5-5_MissaMalhe_002_00944.xml
Alexander Agricola;1446-1506;Agr3051;COM;COM;;;Tout a par moy I;https://analyse.hfm-weimar.de/database/02/AgAl_Agr3051_COM_COM_Toutaparmo_002_00945.xml
Isaac Albeniz;1869-1909;Op.47;COM;1-8;1889;F-Dur;Suite Espanola No.1 - Granada - Serenata;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_1-8_SuiteEspan_001_00002.xml
Isaac Albeniz;1869-1909;Op.47;COM;3-8;1889;G-Dur;Suite Espanola No.1 - Sevilla - Sevillana;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_3-8_SuiteEspan_001_00003.xml
Isaac Albeniz;1869-1909;Op.47;COM;4-8;1889;Des-Dur;Suite Espanola No.1 - Cadiz - Saeta;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_4-8_SuiteEspan_001_00004.xml
Isaac Albeniz;1869-1909;Op.47;COM;5-8;1889;G-Moll;Suite Espanola No.1 - Asturias - Leyenda;https://analyse.hfm-weimar.de/database/01/AlIs_Op47_COM_5-8_SuiteEspan_001_00005.xml
Isaac Albeniz;1869-1909;Op.165;2-6;COM;1890;;Espana - Tango;https://analyse.hfm-weimar.de/database/01/AlIs_Op165_2-6_COM_Espana-Tan_001_00006.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;;Gelobet seist Du, Jesu Christ;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Gelobetsei_004_00002.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;B-sharp major;Herzlich lieb hab ich dich;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Herzlichli_004_00003.xml
Johann Friedrich Alberti;1642-1710;UNSP;UNSP;UNSP;;C major;Herzlich lieb hab ich dich;https://analyse.hfm-weimar.de/database/04/AlJoFr_UNSP_UNSP_UNSP_Herzlichli_004_00004.xml
Tomaso Albinoni;1671-1751;Op.1;12-12;COM;1694;D-Moll;Trio Sonata in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op1_12-12_COM_TrioSonata_001_00007.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;1-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_1-3_OboeConcer_001_00008.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;2-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_2-3_OboeConcer_001_00009.xml
Tomaso Albinoni;1671-1751;Op.9;2-12;3-3;1722;D-Moll;Oboe Concerto in D minor;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_2-12_3-3_OboeConcer_001_00010.xml
Tomaso Albinoni;1671-1751;Op.9;3-12;COM;1722;F-Dur;Concerto for 2 Oboes in F major;https://analyse.hfm-weimar.de/database/01/AlTo_Op9_3-12_COM_Concertofo_001_00011.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;E-Phrygisch;Alla breve in e phrygian;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_Allabrevei_004_00005.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;E minor;Fugato in E minor;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_FugatoinEm_004_00006.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;C minor;Fugue in C minor;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_FugueinCmi_004_00007.xml
Johann Georg Albrechtsberger;1736-1809;UNSP;UNSP;UNSP;;D major;Prelude in D major;https://analyse.hfm-weimar.de/database/04/AlJoGe_UNSP_UNSP_UNSP_PreludeinD_004_00008.xml
Charles-Valentin Alkan;1813-1888;Op.38;2-12;COM;1857;A-Moll;Deuxieme recueil de chants - Fa, Op. 38, No. 2;https://analyse.hfm-weimar.de/database/03/AlChaVa_Op38_2-12 _COM_Deuxiemere_003_00179.xml
Carl Philipp Emanuel Bach;1714-1788;H.16;COM;COM;1770;Es-Dur;Keyboard Sonata in E flat major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H16_COM_COM_KeyboardSo_001_00012.xml
Carl Philipp Emanuel Bach;1714-1788;H.98;COM;COM;1761;A-Moll;La Caroline;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H98_COM_COM_LaCaroline_001_00013.xml
Carl Philipp Emanuel Bach;1714-1788;H.171;COM;COM;1763;Es-Dur;Minuet in E flat major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H171_COM_COM_MinuetinEf_001_00014.xml
Carl Philipp Emanuel Bach;1714-1788;H.195;COM;COM;;D-Moll;Fantasia in D minor;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H195_COM_COM_Fantasiain_001_00015.xml
Carl Philipp Emanuel Bach;1714-1788;H.220;COM;COM;1766;C-Moll;Solfeggio in C minor;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H220_COM_COM_Solfeggioi_001_00016.xml
Carl Philipp Emanuel Bach;1714-1788;H.222;COM;COM;1766;A-Dur;Solfeggio in A major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H222_COM_COM_Solfeggioi_001_00017.xml
Carl Philipp Emanuel Bach;1714-1788;H.288;COM;COM;1786;A-Dur;Rondo in A major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H288_COM_COM_RondoinAma_001_00018.xml
Carl Philipp Emanuel Bach;1714-1788;H.351;COM;COM;;A-Dur;Arioso con 6 variazioni;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H351_COM_COM_Ariosocon6_001_00019.xml
Carl Philipp Emanuel Bach;1714-1788;H.432;COM;1-3;1750;A-Moll;Cello Concerto in A minor;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H432_COM_1-3_CelloConce_001_00020.xml
Carl Philipp Emanuel Bach;1714-1788;H.576;COM;2-3;1747;F-Dur;Trio Sonata in F major;https://analyse.hfm-weimar.de/database/01/BaCaPhE_H576_COM_2-3_TrioSonata_001_00021.xml
Johann Sebastian Bach;1685-1750;BWV 1;COM;1-6;1725;F major;"Cantata ""Wie schön leuchtet der Morgenstern"" - Chorale fantasia: Wie schön leuchtet der Morgenstern";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV1_COM_1-6_CantataWie_004_00009.xml
Johann Sebastian Bach;1685-1750;BWV 1;COM;2-6;1725;F major;"Cantata ""Wie schön leuchtet der Morgenstern"" - Recitativo (tenor): Du wahrer Gottes und Marien Sohn";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV1_COM_2-6_CantataWie_004_00010.xml
Johann Sebastian Bach;1685-1750;BWV 1;COM;3+4-6;1725;F major;"Cantata ""Wie schön leuchtet der Morgenstern"" - Aria (soprano): Erfüllet, ihr himmlischen göttlichen Flammen & Recitativo (bass): Ein irdscher Glanz, ein lieblich Licht";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV1_COM_3+4-6_CantataWie_004_00011.xml
Johann Sebastian Bach;1685-1750;BWV 1;COM;5-6;1725;F major;"Cantata ""Wie schön leuchtet der Morgenstern"" - Aria (tenor): Unser Mund und Ton der Saiten";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV1_COM_5-6_CantataWie_004_00012.xml
Johann Sebastian Bach;1685-1750;BWV 1;COM;6-6;1725;F major;"Cantata ""Wie schön leuchtet der Morgenstern"" - Choral: Wie bin ich doch so herzlich froh";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV1_COM_6-6_CantataWie_004_00013.xml
Johann Sebastian Bach;1685-1750;BWV 2;COM;COM;1724;G minor;"Cantata ""Ach Gott, vom Himmel sieh darein""";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV2_COM_COM_CantataAch_004_00014.xml
Johann Sebastian Bach;1685-1750;BWV 2;COM;6-6;1724;G minor;"Cantata ""Ach Gott, vom Himmel sieh darein"" - Chorale: Das wollst du, Gott, bewahren rein";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV2_COM_6-6_CantataAch_004_00015.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;1-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Chorus: Ach Gott, wie manches Herzeleid";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_1-6_CantataAch_004_00016.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;2-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Recitativo (tenor, soprano, alto, bass): Wie schwerlich lässt sich Fleisch und Blut";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_2-6_CantataAch_004_00017.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;3-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Aria (bass): Empfind ich Höllenangst und Pein";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_3-6_CantataAch_004_00018.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;4-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Recitativo (tenor): Es mag mir Leib und Geist verschmachten";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_4-6_CantataAch_004_00019.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;5-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Duet Aria (soprano, alto): Wenn Sorgen auf mich dringen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_5-6_CantataAch_004_00020.xml
Johann Sebastian Bach;1685-1750;BWV 3;COM;6-6;1725;A major;"Cantata ""Ach Gott, wie manches Herzeleid"" - Chorale: Erhalt mein Herz im Glauben rein";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV3_COM_6-6_CantataAch_004_00021.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;1-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Sinfonia";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_1-8_CantataChr_004_00022.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;2-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Chorus: Christ lag in Todes Banden";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_2-8_CantataChr_004_00023.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;3-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Duetto (soprano, alto): Den Tod niemand zwingen kunnt";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_3-8_CantataChr_004_00024.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;4-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Aria (tenor): Jesus Christus, Gottes Sohn";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_4-8_CantataChr_004_00025.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;5-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Chorus: Es war ein wunderlicher Krieg";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_5-8_CantataChr_004_00026.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;6-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Aria (bass): Hier ist das rechte Osterlamm";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_6-8_CantataChr_004_00027.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;7-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Duetto Aria (soprano, tenor): So feiern wir das hohe Fest";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_7-8_CantataChr_004_00028.xml
Johann Sebastian Bach;1685-1750;BWV 4;COM;8-8;1707 in Arnstadt, rev.1724-25 in Leipzig;E minor;"Cantata ""Christ lag in Todesbanden"" - Chorale: Wir essen und leben wohl";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV4_COM_8-8_CantataChr_004_00029.xml
Johann Sebastian Bach;1685-1750;BWV 5;COM;COM;1724;G minor;"Cantata ""Wo soll ich fliehen hin""";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV5_COM_COM_CantataWos_004_00030.xml
Johann Sebastian Bach;1685-1750;BWV 5;COM;7-7;1724;G minor;"Cantata ""Wo soll ich fliehen hin"" - Chorale: Führ auch mein Herz und Sinn";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV5_COM_7-7_CantataWos_004_00031.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;1-6;"1725; rev. 1727; 1736/1740";C minor;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Chorus: Bleib bei uns, denn es will Abend werden";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_1-6_CantataBle_004_00032.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;2-6;"1725; rev. 1727; 1736/1742";E-flat major;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Aria (alto): Hochgelobter Gottessohn";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_2-6_CantataBle_004_00033.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;3-6;"1725; rev. 1727; 1736/1744";B-sharp major;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Chorale (soprano): Ach bleib bei uns, Herr Jesu Christ";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_3-6_CantataBle_004_00034.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;4-6;"1725; rev. 1727; 1736/1746";G minor;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Recitative (bass): Es hat die Dunkelheit an vielen Orten";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_4-6_CantataBle_004_00035.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;5-6;"1725; rev. 1727; 1736/1748";G minor;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Aria (tenor): Jesu, laß uns auf dich sehen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_5-6_CantataBle_004_00036.xml
Johann Sebastian Bach;1685-1750;BWV 6;COM;6-6;"1725; rev. 1727; 1736/1750";G minor;"Cantata ""Bleib bei uns, denn es will Abend werden"" - Chorale: Beweis dein Macht, Herr Jesu Christ";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV6_COM_6-6_CantataBle_004_00037.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;1-7;1724;E minor;"Cantata ""Christ unser Herr zum Jordan kam"" - Chorus: Christ unser Herr zum Jordan kam";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_1-7_CantataChr_004_00038.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;2+3-7;1724;G major;"Cantata ""Christ unser Herr zum Jordan kam"" - Aria (bass): Merkt und hört, ihr Menschenkinder & Recitative (tenor): Dies hat Gott klar mit Worten";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_2+3-7_CantataChr_004_00039.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;4-7;1724;A minor;"Cantata ""Christ unser Herr zum Jordan kam"" - Aria (tenor): Des Vaters Stimme ließ sich hören";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_4-7_CantataChr_004_00040.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;5-7;1724;B minor;"Cantata ""Christ unser Herr zum Jordan kam"" - Recitative (bass): Als Jesus dort nach seinen Leiden";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_5-7_CantataChr_004_00041.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;6-7;1724;E minor;"Cantata ""Christ unser Herr zum Jordan kam"" - Aria (alto): Menschen, glaubt doch dieser Gnade";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_6-7_CantataChr_004_00042.xml
Johann Sebastian Bach;1685-1750;BWV 7;COM;7-7;1724;E minor;"Cantata ""Christ unser Herr zum Jordan kam"" - Chorale: Das Aug allein das Wasser sieht";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV7_COM_7-7_CantataChr_004_00043.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;1-6;1724;E major;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Chorus: Liebster Gott, wenn werd ich sterben?";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_1-6_CantataLie_004_00044.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;2-6;1724;C-sharp minor;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Aria (tenor): Was willst du dich, mein Geist, entsetzen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_2-6_CantataLie_004_00045.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;3-6;1724;E major;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Recitative (alto): Zwar fühlt mein schwaches Herz";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_3-6_CantataLie_004_00046.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;4-6;1724;A major;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Aria (bass): Doch weichet, ihr tollen, vergeblichen Sorgen!";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_4-6_CantataLie_004_00047.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;5-6;1724;E major;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Recitative (soprano): Behalte nur, o Welt, das Meine!";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_5-6_CantataLie_004_00048.xml
Johann Sebastian Bach;1685-1750;BWV 8;COM;6-6;1724;E major;"Cantata ""Liebster Gott, wenn werd ich sterben?"" - Chorale: Herrscher über Tod und Leben";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV8_COM_6-6_CantataLie_004_00049.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;1-7;1731-35;E major;"Cantata ""Es ist das Heil uns kommen her"" - Chorus: Es ist das Heil uns kommen her";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_1-7_CantataEsi_004_00050.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;2-7;1731-35;C-sharp minor;"Cantata ""Es ist das Heil uns kommen her"" - Recitative (bass): Gott gab uns ein Gesetz";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_2-7_CantataEsi_004_00051.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;3-7;1731-35;E major;"Cantata ""Es ist das Heil uns kommen her"" - Aria (tenor): Wir waren schon zu tief gesunken";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_3-7_CantataEsi_004_00052.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;4-7;1731-35;B-sharp minor/A major;"Cantata ""Es ist das Heil uns kommen her"" - Recitative (bass): Doch mußte das Gesetz erfüllet werden";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_4-7_CantataEsi_004_00053.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;5-7;1731-35;A major;"Cantata ""Es ist das Heil uns kommen her"" - Duetto Aria (soprano, alto): Herr, du siehst statt guter Werke";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_5-7_CantataEsi_004_00054.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;6-7;1731-35;E major;"Cantata ""Es ist das Heil uns kommen her"" - Recitative (bass): Wenn wir die Sünd aus dem Gesetz erkennen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_6-7_CantataEsi_004_00055.xml
Johann Sebastian Bach;1685-1750;BWV 9;COM;7-7;1731-35;E major;"Cantata ""Es ist das Heil uns kommen her"" - Chorale: Ob sichs anließ, als wollt er nicht";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV9_COM_7-7_CantataEsi_004_00056.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;1-7;1731-35;E major;"Cantata ""Meine Seel erhebt den Herren"" - Chorus: Es ist das Heil uns kommen her";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_1-7_CantataMei_004_00057.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;2-7;1731-35;C-sharp minor/B major;"Cantata ""Meine Seel erhebt den Herren"" - Recitative (bass): Gott gab uns ein Gesetz";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_2-7_CantataMei_004_00058.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;3-7;1731-35;E major;"Cantata ""Meine Seel erhebt den Herren"" - Aria (tenor): Wir waren schon zu tief gesunken";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_3-7_CantataMei_004_00059.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;4-7;1731-35;B minor/A major;"Cantata ""Meine Seel erhebt den Herren"" - Recitative (bass): Doch mußte das Gesetz erfüllet werden";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_4-7_CantataMei_004_00060.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;5-7;1731-35;A major;"Cantata ""Meine Seel erhebt den Herren"" - Duetto Aria (soprano, alto): Herr, du siehst statt guter Werke";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_5-7_CantataMei_004_00061.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;6-7;1731-35;E major;"Cantata ""Meine Seel erhebt den Herren"" - Recitative (bass): Wenn wir die Sünd aus dem Gesetz erkennen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_6-7_CantataMei_004_00062.xml
Johann Sebastian Bach;1685-1750;BWV 10;COM;7-7;1731-35;E major;"Cantata ""Meine Seel erhebt den Herren"" - Chorale: Ob sichs anließ, als wollt er nicht";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV10_COM_7-7_CantataMei_004_00063.xml
Johann Sebastian Bach;1685-1750;BWV 11;1-2;1-6;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Chorus: Lobet Gott in seinen Reichen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_1-2_1-6_CantataLob_004_00064.xml
Johann Sebastian Bach;1685-1750;BWV 11;1-2;2+3-6;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Recitative (tenor): Der Herr Jesus hub seine Hände auf & Recitative (bass): Ach, Jesu, ist dein Abschied schon so nah?";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_1-2_2+3-6_CantataLob_004_00065.xml
Johann Sebastian Bach;1685-1750;BWV 11;1-2;4+5-6;1735;A minor;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Aria (alto): Ach, bleibe doch, mein liebstes Leben & Recitative (tenor): Und ward aufgehoben zusehends";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_1-2_4+5-6_CantataLob_004_00066.xml
Johann Sebastian Bach;1685-1750;BWV 11;1-2;6-6;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Chorale: Nun lieget alles unter dir";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_1-2_6-6_CantataLob_004_00067.xml
Johann Sebastian Bach;1685-1750;BWV 11;2-2;1-5;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Recitative (tenor and bass): Und da sie ihm nachsahen gen Himmel fahren";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_2-2_1-5_CantataLob_004_00068.xml
Johann Sebastian Bach;1685-1750;BWV 11;2-2;2+3-5;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Recitative (soprano): Ach ja! so komme bald zurück & Recitative (tenor): Sie aber beteten ihn an";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_2-2_2+3-5_CantataLob_004_00069.xml
Johann Sebastian Bach;1685-1750;BWV 11;2-2;4-5;1735;G major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Aria (soprano): Jesu, deine Gnadenblicke";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_2-2_4-5_CantataLob_004_00070.xml
Johann Sebastian Bach;1685-1750;BWV 11;2-2;5-5;1735;D major;"Cantata ""Lobet Gott in seinen Reichen"" ('Himmelfahrts-Oratorium') - Chorale: Wenn soll es doch geschehen";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV11_2-2_5-5_CantataLob_004_00071.xml
Johann Sebastian Bach;1685-1750;BWV 12;COM;1-7;"1714; 1724 (Revised) (in G minor)";F-Dorisch;"Cantata ""Weinen, Klagen, Sorgen, Zagen"" - Sinfonia";https://analyse.hfm-weimar.de/database/04/BaJoSe_BWV12_COM_1-7_CantataWei_004_00072.xml
