Composer;Life Time;Opus;Nr. in Opus;Movement Number;Year;Key;Title;url
Josquin des Prez ;1450-1521;Jos1003;COM;4-5;;;Missa Quem dicunt homines - Sanctus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1003_COM_4-5_MissaQuemd_002_00130.xml
Josquin des Prez ;1450-1521;Jos1003;COM;5-5;;;Missa Quem dicunt homines - Agnus Dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1003_COM_5-5_MissaQuemd_002_00131.xml
Josquin des Prez ;1450-1521;Jos1101;COM;1-5;;;Missa Hercules dux Ferrarie - Kyrie;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1101_COM_1-5_MissaHercu_002_00132.xml
Josquin des Prez ;1450-1521;Jos1101;COM;2-5;;;Missa Hercules dux Ferrarie - Gloria;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1101_COM_2-5_MissaHercu_002_00133.xml
Josquin des Prez ;1450-1521;Jos1101;COM;3-5;;;Missa Hercules dux Ferrarie - Credo;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1101_COM_3-5_MissaHercu_002_00134.xml
Josquin des Prez ;1450-1521;Jos1101;COM;4-5;;;Missa Hercules dux Ferrarie - Sanctus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1101_COM_4-5_MissaHercu_002_00135.xml
Josquin des Prez ;1450-1521;Jos1101;COM;5-5;;;Missa Hercules dux Ferrarie - Agnus Dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1101_COM_5-5_MissaHercu_002_00136.xml
Josquin des Prez ;1450-1521;Jos1102;COM;1-5;;;Missa La sol fa re mi - Kyrie;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1102_COM_1-5_MissaLasol_002_00137.xml
Josquin des Prez ;1450-1521;Jos1102;COM;2-5;;;Missa La sol fa re mi - Gloria;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1102_COM_2-5_MissaLasol_002_00138.xml
Josquin des Prez ;1450-1521;Jos1102;COM;3-5;;;Missa La sol fa re mi - Credo;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1102_COM_3-5_MissaLasol_002_00139.xml
Josquin des Prez ;1450-1521;Jos1102;COM;4-5;;;Missa La sol fa re mi - Sanctus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1102_COM_4-5_MissaLasol_002_00140.xml
Josquin des Prez ;1450-1521;Jos1102;COM;5-5;;;Missa La sol fa re mi - Agnus Dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1102_COM_5-5_MissaLasol_002_00141.xml
Josquin des Prez ;1450-1521;Jos1201;COM;1-5;;;Missa Ad fugam - Kyrie;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_1-5_MissaAdfug_002_00142.xml
Josquin des Prez ;1450-1521;Jos1201;COM;2-5;;;Missa Ad fugam - Gloria;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_2-5_MissaAdfug_002_00143.xml
Josquin des Prez ;1450-1521;Jos1201;COM;3-5;;;Missa Ad fugam - Credo;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_3-5_MissaAdfug_002_00144.xml
Josquin des Prez ;1450-1521;Jos1201;COM;4-5;;;Missa Ad fugam - Sanctus (version I);https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_4-5_MissaAdfug_002_00145.xml
Josquin des Prez ;1450-1521;Jos1201;COM;4-5;;;Missa Ad fugam - Sanctus (version II);https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_4-5_MissaAdfug_002_00146.xml
Josquin des Prez ;1450-1521;Jos1201;COM;5-5;;;Missa Ad fugam - Agnus Dei (version I);https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_5-5_MissaAdfug_002_00147.xml
Josquin des Prez ;1450-1521;Jos1201;COM;5-5;;;Missa Ad fugam - Agnus Dei (version II);https://analyse.hfm-weimar.de/database/02/PrJode_Jos1201_COM_5-5_MissaAdfug_002_00148.xml
Josquin des Prez ;1450-1521;Jos1202;COM;1-5;;;Missa Sine nomine - Kyrie;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1202_COM_1-5_MissaSinen_002_00149.xml
Josquin des Prez ;1450-1521;Jos1202;COM;2-5;;;Missa Sine nomine - Gloria;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1202_COM_2-5_MissaSinen_002_00150.xml
Josquin des Prez ;1450-1521;Jos1202;COM;3-5;;;Missa Sine nomine - Credo;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1202_COM_3-5_MissaSinen_002_00151.xml
Josquin des Prez ;1450-1521;Jos1202;COM;4-5;;;Missa Sine nomine - Sanctus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1202_COM_4-5_MissaSinen_002_00152.xml
Josquin des Prez ;1450-1521;Jos1202;COM;5-5;;;Missa Sine nomine - Agnus Dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1202_COM_5-5_MissaSinen_002_00153.xml
Josquin des Prez ;1450-1521;Jos1301;COM;1-5;;;Credo Chascun me crie;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1301_COM_1-5_CredoChasc_002_00154.xml
Josquin des Prez ;1450-1521;Jos1302;COM;2-5;;;Credo  De tous biens playne;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1302_COM_2-5_CredoDetou_002_00155.xml
Josquin des Prez ;1450-1521;Jos1303;COM;3-5;;;Credo La belle se siet;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1303_COM_3-5_CredoLabel_002_00156.xml
Josquin des Prez ;1450-1521;Jos1304;COM;4-5;;;Credo Quarti toni;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1304_COM_4-5_CredoQuart_002_00157.xml
Josquin des Prez ;1450-1521;Jos1305;COM;5-5;;;Credo Vilayge I;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1305_COM_5-5_CredoVilay_002_00158.xml
Josquin des Prez ;1450-1521;Jos1306;COM;1-5;;;Credo Vilayge II;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1306_COM_1-5_CredoVilay_002_00159.xml
Josquin des Prez ;1450-1521;Jos1307;COM;2-5;;;Gloria  De beata virgine;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1307_COM_2-5_GloriaDebe_002_00160.xml
Josquin des Prez ;1450-1521;Jos1309;COM;COM;;;Sanctus De passione;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1309_COM_COM_SanctusDep_002_00161.xml
Josquin des Prez ;1450-1521;Jos1310;COM;COM;;;Sanctus  D'ung aultre amer / Tu lumen;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1310_COM_COM_SanctusDun_002_00162.xml
Josquin des Prez ;1450-1521;Jos1311;COM;COM;;;Agnus Dei;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1311_COM_COM_AgnusDei_002_00163.xml
Josquin des Prez ;1450-1521;Jos1312;COM;COM;;;Crucifixus;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1312_COM_COM_Crucifixus_002_00164.xml
Josquin des Prez ;1450-1521;Jos1313;COM;COM;;;Et incarnatus est;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1313_COM_COM_Etincarnat_002_00165.xml
Josquin des Prez ;1450-1521;Jos1314;COM;COM;;;Kyrie Pascale;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1314_COM_COM_KyriePasca_002_00166.xml
Josquin des Prez ;1450-1521;Jos1401;COM;COM;;;Absalon, my son;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1401_COM_COM_Absalonmys_002_00167.xml
Josquin des Prez ;1450-1521;Jos1402;COM;COM;;;Benedicite, omnia opera;https://analyse.hfm-weimar.de/database/02/PrJode_Jos1402_COM_COM_Benedicite_002_00168.xml
